关于界面日期

关于                                                    About
常用参数                                                Common params
测试范围                                                Check range
测试点数                                                Dots count
光标颜色                                                Cursor color
光标大小                                                Cursor size
背景颜色                                                Background color
固视目标                                                Fixation target
中心点                                                  Center dot
秒                                                      sec
移动速度                                                Move speed
移动亮度                                                Move brightness
移动方式                                                Move method
移动距离                                                Move distance

NewProgram.qml
创建程序                                                Create program
类别                                                    Type
全阈值                                                  Full threshold
智能交互式                                              Smart interactive
快速智能交互式                                          Fast interactive
二区法                                                  One stage
三区法                                                  Two stages
量化缺损                                                Quantify defects
单刺激                                                  Single stimulus

ProgramCustomize.qml
清除                                                    Clear
复制                                                    Copy
圆形选点                                                Circle dots
矩形选点                                                Rectangle dots
解锁                                                    Unlock
已解锁                                                  Unlocked

ProgramCustomizeCircleDot.qml
创建圆形程序的范围                                      Create program according to circle
外圆                                                    Outer circle
内圆                                                    Inner circle
间距                                                    Spacing
单位                                                    Unit
输入解锁密码                                            Input password

ProgramCustomizeSquareDot.qml
创建圆形程序的范围                                      Create program according to square

ProgressAnalysisBaseLine.qml
超出界限                                                Out of limits
普遍敏感度降低                                          Low sensitivity
边界                                                    Border of limits
正常范围                                                Within normal limits
选择程序                                                Program
青光眼半视野检查                                        GHT
中心点                                                  Center dot
平均缺损                                                MD
平均标准差                                              PSD

斜率不明显                                              Slope insignificant
斜率明显                                                Slope significant
进展速度                                                ProgressSpeed
基线平均缺损                                            Baseline average MD
斜率情况                                                Slope status

ProgressAnalysisLobby.qml
复位                                                    Reset
进展基线                                                Progress baseline
进展分析                                                Progress analysis
单次进展分析                                            Single Progress

ProgressAnalysisSingle.qml
小菱形                                                  Small diamond
大菱形                                                  Big diamond
底点                                                    Bottom dot
中心点检测                                              Center dot check

总体偏差                                                Total deviation
模式偏差                                                Pattern deviation

没有进展                                                no progress
可能的进展                                              possible progress
很有可能的进展                                          very possible progress

基线检查日期                                                BaseLine dates
以前的追踪检查日期                                          Previous dates
恶化                                                    Deterioarted
连续                                                    Consecutiveness
超出范围                                                Out of range

SaveToAnotherProgram.qml
另存为程序                                              Save as another program

Settings.qml
选择语言                                                Select language
默认                                                    Default
医院名称                                                Hospital name

StaticAnalysisReportOverView.qml
灰度                                                    Gray tone

StaticAnalysisReportScreening.qml
看见                                                    Seen
未看见                                                  Unseen
盲点                                                    Blind spot
缺陷深度                                                Defect depth
的预期                                                  Expectation
常用参数                                                Common params
固定参数                                                Fixed params
策略模式                                                Strategy mode
年龄相关                                                Age related
阈值相关                                                Threshold related
兰·黄测试                                               Cyan·yellow Check
响应自适应                                              Response auto adapt
响应延迟时间                                            Response delay time
中心点检测                                              Center dot check
短期波动                                                Short term fluctuation
固视选择                                                Fixation target
盲点测试                                                Blind dot test

刺激时间                                                Stimulus time
间隔时间                                                Inteval time
假阳性周期                                              False positive cycle
假阴性周期                                              False negative cycle
固视丢失周期                                            Fixation loss cycle
单刺激分贝                                              Single stimulus DB
盲点刺激分贝                                            Blind dot stimulus DB
短期波动次数                                            Short term fluctuation count

VisionFieldIsland.qml
缩小                                                    Zoom out
放大                                                    Zoom in


